"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Adutora (Máquina)",,"",0,"normal",31.75,15,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Adutora (Máquina)",,"",1,"normal",58.97,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Adutora (Máquina)",,"",2,"normal",58.97,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Adutora (Máquina)",,"",3,"normal",58.97,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Flexora (Máquina)",,"",0,"normal",50,15,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Flexora (Máquina)",,"",1,"normal",75,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Flexora (Máquina)",,"",2,"normal",75,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Flexora (Máquina)",,"",3,"normal",75,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Flexora (Máquina)",,"",4,"normal",75,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Leg Press 45º (Máquina)",,"",0,"normal",40,12,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Leg Press 45º (Máquina)",,"",1,"normal",80,8,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Leg Press 45º (Máquina)",,"",2,"normal",80,8,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Leg Press 45º (Máquina)",,"",3,"normal",80,8,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Elevação Pélvica (Barra)",,"",0,"normal",80,15,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Elevação Pélvica (Barra)",,"",1,"normal",140,8,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Elevação Pélvica (Barra)",,"",2,"normal",140,8,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Elevação Pélvica (Barra)",,"",3,"normal",140,8,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Agachamento Búlgaro",,"",0,"normal",26,8,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Agachamento Búlgaro",,"",1,"normal",26,8,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Agachamento Búlgaro",,"",2,"normal",26,8,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Extensora (Máquina)",,"",0,"normal",60,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Extensora (Máquina)",,"",1,"normal",50,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Extensora (Máquina)",,"",2,"normal",50,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Cadeira Extensora (Máquina)",,"",3,"normal",50,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Elevação Unilateral de Panturrilha em Pé (Barra)",,"",0,"normal",70,12,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Elevação Unilateral de Panturrilha em Pé (Barra)",,"",1,"normal",70,12,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Elevação Unilateral de Panturrilha em Pé (Barra)",,"",2,"normal",70,11,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Elevação Unilateral de Panturrilha em Pé (Barra)",,"",3,"normal",70,10,,,
"Treino b, full leg day","30 Abr 2026, 19:37","30 Abr 2026, 21:27","","Elevação Unilateral de Panturrilha em Pé (Barra)",,"",4,"normal",70,10,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Agachamento (Barra)",,"",0,"normal",60,5,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Agachamento (Barra)",,"",1,"normal",100,5,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Agachamento (Barra)",,"",2,"normal",120,3,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Agachamento (Barra)",,"",3,"normal",140,2,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Agachamento (Barra)",,"",4,"normal",160,3,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Agachamento (Barra)",,"",5,"normal",160,3,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Agachamento (Barra)",,"",6,"normal",160,3,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Supino (Barra)",,"",0,"normal",60,8,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Supino (Barra)",,"",1,"normal",80,5,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Supino (Barra)",,"",2,"normal",90,3,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Supino (Barra)",,"",3,"normal",100,2,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Supino (Barra)",,"",4,"normal",110,4,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Supino (Barra)",,"",5,"normal",110,4,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Levantamento Terra (Barra Hexagonal)",,"",0,"normal",60,5,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Levantamento Terra (Barra Hexagonal)",,"",1,"normal",100,4,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Levantamento Terra (Barra Hexagonal)",,"",2,"normal",140,3,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Levantamento Terra (Barra Hexagonal)",,"",3,"normal",180,2,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Levantamento Terra (Barra Hexagonal)",,"",4,"normal",200,2,,,
"Treino 2 e a","29 Abr 2026, 19:30","29 Abr 2026, 21:45","","Levantamento Terra (Barra Hexagonal)",,"",5,"normal",200,2,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Barra Fixa (Com Peso)",,"",0,"normal",1,11,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Barra Fixa (Com Peso)",,"",1,"normal",1,11,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Barra Fixa (Com Peso)",,"",2,"normal",1,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Barra Fixa (Com Peso)",,"",3,"normal",1,7,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remadas Dobradas (Barra)",,"",0,"normal",20,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remadas Dobradas (Barra)",,"",1,"normal",50,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remadas Dobradas (Barra)",,"",2,"normal",50,7,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remadas Dobradas (Barra)",,"",3,"normal",50,6,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remada (Halter)",,"",0,"normal",65,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remada (Halter)",,"",1,"normal",65,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remada (Halter)",,"",2,"normal",65,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remada (Corda) Sentado - Pegas Afastadas",,"",0,"normal",107,10,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remada (Corda) Sentado - Pegas Afastadas",,"",1,"normal",107,10,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Remada (Corda) Sentado - Pegas Afastadas",,"",2,"normal",107,10,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Elevação Lateral (Halter)",,"",0,"normal",16,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Elevação Lateral (Halter)",,"",1,"normal",16,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Elevação Lateral (Halter)",,"",2,"normal",16,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Elevação Lateral (Halter)",,"",3,"normal",16,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Elevação Lateral (Halter)",,"",4,"normal",16,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Rosca Direta na Barra W",,"",0,"normal",14,8,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Rosca Direta na Barra W",,"",1,"normal",20,6,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Rosca Direta na Barra W",,"",2,"normal",20,6,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Rosca Direta na Barra W",,"",3,"normal",20,6,,,
"Treino 3 e c","28 Abr 2026, 19:11","28 Abr 2026, 20:44","","Rosca Direta na Barra W",,"",4,"normal",20,6,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Levantamento Terra Sumô",,"",0,"normal",60,5,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Levantamento Terra Sumô",,"",1,"normal",100,4,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Levantamento Terra Sumô",,"",2,"normal",140,3,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Levantamento Terra Sumô",,"",3,"normal",180,3,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Levantamento Terra Sumô",,"",4,"normal",210,1,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Levantamento Terra Sumô",,"",5,"normal",235,2,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Levantamento Terra Sumô",,"",6,"normal",235,2,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino (Barra)",,"",0,"normal",60,8,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino (Barra)",,"",1,"normal",80,5,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino (Barra)",,"",2,"normal",90,5,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino (Barra)",,"",3,"normal",110,5,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino (Barra)",,"",4,"normal",110,5,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino (Barra)",,"",5,"normal",110,5,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino No Chão (Barra)",,"",0,"normal",60,15,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino No Chão (Barra)",,"",1,"normal",100,8,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino No Chão (Barra)",,"",2,"normal",125,3,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino No Chão (Barra)",,"",3,"normal",130,2,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino No Chão (Barra)",,"",4,"normal",140,1,,,
"Treino 3 e c","27 Abr 2026, 18:56","27 Abr 2026, 21:00","","Supino No Chão (Barra)",,"",5,"normal",140,1,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Agachamento (Barra)",,"",0,"normal",60,10,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Agachamento (Barra)",,"",1,"normal",100,8,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Agachamento (Barra)",,"",2,"normal",120,5,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Agachamento (Barra)",,"",3,"normal",140,3,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Agachamento (Barra)",,"",4,"normal",160,2,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Agachamento (Barra)",,"",5,"normal",180,1,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Agachamento (Barra)",,"",6,"normal",210,1,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Agachamento (Barra)",,"",7,"normal",225,1,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Agachamento (Barra)",,"",8,"normal",240,1,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Supino (Barra)",,"",0,"normal",60,10,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Supino (Barra)",,"",1,"normal",80,6,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Supino (Barra)",,"",2,"normal",105,3,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Supino (Barra)",,"",3,"normal",110,2,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Supino (Barra)",,"",4,"normal",115,3,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Supino (Barra)",,"",5,"normal",115,3,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Levantamento Terra (Barra)",,"",0,"normal",60,5,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Levantamento Terra (Barra)",,"",1,"normal",100,4,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Levantamento Terra (Barra)",,"",2,"normal",140,3,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Levantamento Terra (Barra)",,"",3,"normal",180,2,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Levantamento Terra (Barra)",,"",4,"normal",225,1,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Levantamento Terra (Barra)",,"",5,"normal",240,1,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Levantamento Terra (Barra)",,"",6,"normal",250,2,,,
"Sbd de sexta","26 Abr 2026, 11:34","26 Abr 2026, 15:06","","Levantamento Terra (Barra)",,"",7,"normal",250,2,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Agachamento (Barra)",,"",0,"normal",60,5,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Agachamento (Barra)",,"",1,"normal",100,5,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Agachamento (Barra)",,"",2,"normal",120,3,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Agachamento (Barra)",,"",3,"normal",140,2,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Agachamento (Barra)",,"",4,"normal",160,3,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Agachamento (Barra)",,"",5,"normal",160,3,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Supino (Barra)",,"",0,"normal",60,8,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Supino (Barra)",,"",1,"normal",80,5,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Supino (Barra)",,"",2,"normal",90,3,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Supino (Barra)",,"",3,"normal",100,2,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Supino (Barra)",,"",4,"normal",110,4,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Supino (Barra)",,"",5,"normal",110,4,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Levantamento Terra (Barra Hexagonal)",,"",0,"normal",60,5,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Levantamento Terra (Barra Hexagonal)",,"",1,"normal",100,4,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Levantamento Terra (Barra Hexagonal)",,"",2,"normal",140,3,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Levantamento Terra (Barra Hexagonal)",,"",3,"normal",170,2,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Levantamento Terra (Barra Hexagonal)",,"",4,"normal",195,3,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Levantamento Terra (Barra Hexagonal)",,"",5,"normal",195,3,,,
"Treino 2 e a","22 Abr 2026, 19:37","22 Abr 2026, 21:32","","Levantamento Terra (Barra Hexagonal)",,"",6,"normal",195,3,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Barra Fixa (Com Peso)",,"",0,"normal",1,11,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Barra Fixa (Com Peso)",,"",1,"normal",1,11,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Barra Fixa (Com Peso)",,"",2,"normal",1,11,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Barra Fixa (Com Peso)",,"",3,"normal",1,7,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remadas Dobradas (Barra)",,"",0,"normal",20,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remadas Dobradas (Barra)",,"",1,"normal",40,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remadas Dobradas (Barra)",,"",2,"normal",40,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remadas Dobradas (Barra)",,"",3,"normal",40,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remada (Halter)",,"",0,"normal",65,10,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remada (Halter)",,"",1,"normal",65,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remada (Halter)",,"",2,"normal",65,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remada (Corda) Sentado - Pegas Afastadas",,"",0,"normal",127,10,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remada (Corda) Sentado - Pegas Afastadas",,"",1,"normal",127,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Remada (Corda) Sentado - Pegas Afastadas",,"",2,"normal",127,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Elevação Lateral (Halter)",,"",0,"normal",16,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Elevação Lateral (Halter)",,"",1,"normal",16,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Elevação Lateral (Halter)",,"",2,"normal",16,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Elevação Lateral (Halter)",,"",3,"normal",16,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Elevação Lateral (Halter)",,"",4,"normal",16,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Rosca Direta na Barra W",,"",0,"normal",14,8,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Rosca Direta na Barra W",,"",1,"normal",20,6,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Rosca Direta na Barra W",,"",2,"normal",20,6,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Rosca Direta na Barra W",,"",3,"normal",20,6,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Rosca Direta na Barra W",,"",4,"normal",20,6,,,
"Treino 3 e c","21 Abr 2026, 16:13","21 Abr 2026, 17:48","","Rosca Direta na Barra W",,"",5,"normal",20,6,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Levantamento Terra Sumô",,"",0,"normal",60,5,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Levantamento Terra Sumô",,"",1,"normal",100,4,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Levantamento Terra Sumô",,"",2,"normal",140,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Levantamento Terra Sumô",,"",3,"normal",180,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Levantamento Terra Sumô",,"",4,"normal",200,1,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Levantamento Terra Sumô",,"",5,"normal",230,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Levantamento Terra Sumô",,"",6,"normal",230,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Levantamento Terra Sumô",,"",7,"normal",230,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino (Barra)",,"",0,"normal",60,8,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino (Barra)",,"",1,"normal",80,5,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino (Barra)",,"",2,"normal",90,5,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino (Barra)",,"",3,"normal",110,5,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino (Barra)",,"",4,"normal",110,5,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino No Chão (Barra)",,"",0,"normal",60,15,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino No Chão (Barra)",,"",1,"normal",100,8,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino No Chão (Barra)",,"",2,"normal",125,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino No Chão (Barra)",,"",3,"normal",135,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino No Chão (Barra)",,"",4,"normal",135,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino No Chão (Barra)",,"",5,"normal",135,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino No Chão (Barra)",,"",6,"normal",135,3,,,
"Treino 3 e c","20 Abr 2026, 19:51","20 Abr 2026, 22:40","","Supino No Chão (Barra)",,"",7,"normal",135,3,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Agachamento (Barra)",,"",0,"normal",60,10,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Agachamento (Barra)",,"",1,"normal",100,8,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Agachamento (Barra)",,"",2,"normal",120,5,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Agachamento (Barra)",,"",3,"normal",140,3,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Agachamento (Barra)",,"",4,"normal",160,2,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Agachamento (Barra)",,"",5,"normal",180,1,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Agachamento (Barra)",,"",6,"normal",210,1,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Agachamento (Barra)",,"",7,"normal",225,1,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Agachamento (Barra)",,"",8,"normal",235,1,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Supino (Barra)",,"",0,"normal",60,10,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Supino (Barra)",,"",1,"normal",80,6,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Supino (Barra)",,"",2,"normal",105,3,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Supino (Barra)",,"",3,"normal",110,2,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Supino (Barra)",,"",4,"normal",115,1,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Supino (Barra)",,"",5,"normal",120,4,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Levantamento Terra (Barra)",,"",0,"normal",60,5,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Levantamento Terra (Barra)",,"",1,"normal",100,4,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Levantamento Terra (Barra)",,"",2,"normal",140,3,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Levantamento Terra (Barra)",,"",3,"normal",180,2,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Levantamento Terra (Barra)",,"",4,"normal",225,1,,,
"Sbd de sexta","18 Abr 2026, 14:49","18 Abr 2026, 17:19","","Levantamento Terra (Barra)",,"",5,"normal",240,5,,,
"Treino 2 e a","16 Abr 2026, 18:47","16 Abr 2026, 21:11","","Agachamento (Barra)",,"",0,"normal",60,5,,,
"Treino 2 e a","16 Abr 2026, 18:47","16 Abr 2026, 21:11","","Agachamento (Barra)",,"",1,"normal",100,5,,,
"Treino 2 e a","16 Abr 2026, 18:47","16 Abr 2026, 21:11","","Agachamento (Barra)",,"",2,"normal",120,3,,,
